id,sentence
287,"Pour mieux maîtriser sonlangage en septembre qu'en juin, l'écrivain YakRivais propose une approche très personnelle quin'en finit pas de séduire. Cet auteur tellement lupour sa Grammaire impertinentepropose aussi.des Jeux pour lire vite(Retz). De quoi faire aimerla grammaire aux plus récalcitrants ! Qui résisteen effet au plaisir de ""schtroumpfer"" son texte, c'est-à-dire d'y remplacer tous les verbes d'actionet les participes passés par le verbe ""schtroump-fer"", correctement accordé, bien sûr ? Qui se refu-serait à trouver le plus rapidement possible le motle plus long d'un petit texte ? Ou à identifier desmots cachés."
288,"Désormais fiable, elle permettait d'exprimer de la distinction vis-à-vis de la masse populaire et du ressentiment face à la société pleine de promesses et de contraintes."
289,"Il a professé à Padoue des principes d'une philosophie qui sent le fagot, dit-on, et ses nombreuses découvertes dans des sciences dangereuses pourront bien finir par le brouiller tout à fait avec l'Église."
290,Un agent du marquis sauta sur la digue : Napoléon venait de débarquer au golfe de Juan.
291,"Il s'agissait avant tout de franciser la République, de faire en sorte que tous les petits Français parlent français."
292,"Au cours suivant, elle est venue s'asseoir à côté de moi."
293,Ne vont-ils pas accaparer les affaires publiques à leur avantage ?
294,"Ils ont mis en évidence le rôle clé de l'alimentation dans l'apparition ou le traitement de certains troubles mentaux comme la dépression, les troubles anxieux, la schizophrénie et même l'autisme."
295,"Le monde et le savoir vus d'une nacelle de roue foraine - toute l'histoire ramenée au scintillement lisse d'une grande boucle -, ce modèle inconscient de l'Exposphère traverse sans vieillir les décennies et les continents."
296,Marie-Sophie Germain est à l'origine d'une théorie scientifique reconnue.
297,"Sur la côte, ils chassent les phoques et les baleines tandis qu'à l'intérieur des terres, ils y élèvent le renne."
298,J'aime aussi me promener avec mes amis en rêvant de voyages que nous pourrions faire ensemble.
299,C'est notre petite tradition à nous cinq.
300,Qui a pris les 100 euros ?
301,"Je suis l'itinéraire donné par Pierre, un ami français"
302,"La disponibilité des services est obtenue par un dimensionnement approprié et une certaine redondance des infrastructures ainsi que par une gestion opérationnelle et une maintenance efficaces des infrastructures, ressources et services."
303,Je ne trouve pas mes clés.
304,"Ces choses faites, il revint tristement à son château de Grianta."
305,Juste un moment.
306,La forêt leur donne du bois et du gibier.
307,"Reste que l'acceptation des robots évoluera au fil des futures générations, et pourrait même déboucher sur de l'attachement."
308,"Aujourd'hui, elle contraint les spécialistes de l'éducation à une réflexion aussi douloureuse qu'embarrassante."
309,"A quelle saison, les serpents vont dormir dans la terre ?"
310,"Ce ""protocole expérimental métaphysique"" aurait donc pour objectif de prouver l'existence de la ""liberté d'indifférence"" proprement humaine"
311,Ils auraient vu plusieurs versions de ce film.
312,"Contrairement à leurs aînés, partis à la retraite souvent usés par le travail et les problèmes de santé, les sexagénaires d'aujourd'hui ont à peine quelques mèches grises."
313,"Car si subite avait été sa pâmoison, qu'elle avait pris pour une vision l'entrée soudaine de Gérard."
314,"Loin d'être forcément une manifestation de désobéissance, cela est plutôt une saine réaction d'indépendance ."
315,"Nous la chantions ensemble, ma mère assise au piano, moi, debout devant elle, une main sur le coeur, l'autre tendue vers la barricade, nous regardant dans les yeux; lorsque nous en venions à ""Aux armes, citoyens!"", ma mère abattait ses deux mains avec violence sur le clavier et je brandissais le poing d'un air menaçant."
316,Mon mari est professeur d'anglais dans une école qui se trouve à 20 kilomètres de la maison.
317,"Si un seul homme peut exprimer autant de haine, imaginez combien d'amour nous pouvons exprimer ensemble."
318,"Entre les deux, il y a le gris : c'est un mélange de blanc et de noir."
319,Vous parlez bien anglais.
320,"Avec lui, par tous les royaumes de l'Europe, elle aurait voyagé de capitale en capitale, partageant ses fatigues et son orgueil, ramassant les fleurs qu'on lui jetait, brodant elle-même ses costumes: puis, chaque soir, au fond d'une loge, derrière la grille à treillis d'or, elle eût recueilli, béante, les expansions de cette âme qui n'aurait chanté que pour elle seule; de la scène, tout en jouant, il l'aurait regardée."
321,"Pendant une grande partie du jour, j'attendis vainement une réponse."
322,"Sheila Watt-Cloutier, présidente de la Conférence circumpolaire des Inuits, a déclaré que les droits des 155 000 Inuits qui vivent au Canada, en Russie, au Groenland."
323,"Mais j'avais repris ma vie habituelle, et l'angoisse que j'avais éprouvée commençait à se dissiper, lorsqu'au bout d'un mois M. de P *** me fit avertir qu'Ellénore devait arriver le soir."
324,Ils ont passé une très bonne soirée
325,Elle va souvent au cinéma
326,"Sa taille vigoureuse était prise dans un pourpoint de couleur brune ; un petit poignard ciselé lui battait sur la cuisse gauche, et il roulait des regards langoureusement en découvrant ses dents blanches."
327,"Les recrutements s'effectuent essentiellement à partir de critères liés à la voix, au bon contact et à l'expression orale de la personne."
328,Le héros meurt à la fin du film.
329,Il n'y a pas beaucoup de différences dans le développement du langage entre un enfant bilingue et un enfant monolingue.
330,Mon second copain fit des études de commerce
331,"Je ne vais pas très vite, mais il ralentit toujours pour moi"
332,C'est une femme pleine de vertus.
333,Chacun se devait d'assister à la messe et de participer aux fêtes collectives et aux réunions familiales.
334,"Dans la classe, il est interdit de fumer"
335,"Quand l'ange apparaît la première fois, que conseille-t-il à Azaël ?"
336,"Aujourd'hui , c'est plus possible."
337,"Chaque soir, je lis un peu et je dors sur le divan."
338,"Richard Castelli Dès le XIXe siècle, l'usage d'abord des machines puis des robots a déjà conduit à de nombreux licenciements et la disparition de nombreux métiers bien que ce processus ait été ralenti par la possibilité d'une main-d'oeuvre encore plus économique hors des anciens pays industrialisés."
339,"La dernière mouture du texte, résultat d'un compromis au sein de la majorité, n'est plus qu'une copie pâlichonne du projet initial: les magasins pourront ouvrir leurs portes dix dimanches par an, au lieu de cinq aujourd'hui."
340,"Le dernier soir, ils avaient réservé une table dans un des restaurants les plus romantiques de Florence, histoire de finir leur séjour en beauté"
341,Il s'appelle Albert et il a un an.
342,"Une histoire très touchante, servie par la plume d'Anna Gavalda qui n'a pas son pareil pour dire simplement les émotions et les sentiments les plus forts."
343,"En Ethiopie, la date de la Fête des mères n'est ni fixe, ni déterminée à l'avance : elle dépend directement de la fin de la période des pluies !"
344,"D'autres auteurs ont exploité ce terrain comme Erik Orsenna et ses Chevaliers du subjonctif, sorti à l'automne 2004 (Le Monde de l'éducationn° 328, septembre 2004)."
345,La secrétaire est restée au bureau toute la journée
346,"Alors, beaucoup de bruit pour rien ?"
347,"Alors il réunit en son palais les bûcherons, les forgerons et les tailleurs de pierre, ceux qui portent de lourds fardeaux , ceux qui des outils pesants , ceux qui travaillent dans les carrières ou dressent debout les colonnes des édifices, tous ceux enfin qui luttent avec les choses inanimées."
348,"Ici, il fait toujours chaud."
349,Il réalise que toute cette histoire n'était qu'un rêve.
350,"Les résultats indiquent d'abord qu'à 6 mois, environ un quart des enfants ne dormait jamais 6 heures consécutives et que la moitié des enfants ne dormait jamais 8 heures consécutives."
351,Son utopie était celle d'un monde sans argent.
352,"Certaines de ces organisations, comme Greenpeace, reconnaissent que les autochtones ont un droit de prendre des animaux et de préserver leur culture."
353,Cela lui paraissait invraisemblable.
354,"Mais pourquoi les économies africaines seraient plus capables de faire face à la dette dans six mois, alors qu'elles ne. elles ont déjà perdu, vous le disiez, plusieurs points de croissance, voire elles sont en récession ?"
355,"Au XIXe siècle la querelle du féminisme devient à nouveau une querelle de partisans ; une des conséquences de la révolution industrielle, c'est la participation de la femme au travail producteur : à ce moment les revendications féministes sortent du domaine théorique, elles trouvent des bases économiques ; leurs adversaires deviennent d'autant plus agressifs ; quoique la propriété foncière soit en partie détrônée, la bourgeoisie s'accroche à la vieille morale qui voit dans la solidité de la famille le garant de la propriété privée : elle réclame la femme au foyer d'autant plus âprement que son émancipation devient une véritable menace ; à l'intérieur même de la classe ouvrière, les hommes ont essayé de freiner cette libération parce que les femmes leur apparaissaient comme de dangereuses concurrentes et d'autant plus qu'elles étaient habituées à travailler à de bas salaires."
356,Ses enfants l'ont traité de fou.
357,C'est bien simple: je n'apprécie pas l'idée de tuer de pauvres animaux innocents.
358,"Elle quitta son palais, loua deux chambres à un cinquième étage, renvoya tous ses gens et jusqu'à sa femme de chambre remplacée par une pauvre vieille faisant des ménages."
359,"Je montrerai qu'il existe des problèmes de souveraineté, de fuites de données, d'inférences de comportements, de traçage, ou encore de conception des applications."
360,"Mais aujourd'hui, il a un peu peur."
361,Autrefois vous viviez retirée ; vous fuyiez une société fatigante ; vous évitiez ces éternelles conversations qui se prolongent précisément parce qu'elles ne devraient jamais commencer.
362,"Je préfère le mauve, cette couleur tempérée, mélange de la rouge chaleur africaine et du froid bleu européen."
363,Ce sont des organes internes comme le cerveau qui est logé dans la tête
364,Une meilleure protection de la vie privée conjuguée à des mesures allant dans le sens d'une meilleure gestion des risques de sécurité numérique pourraient contribuer à promouvoir la confiance.
365,La pensée complexe est celle qui relie les choses séparées.
366,"Ce sont des jours fériés, c'est-à-dire des jours pendant lesquels on ne travaille pas."
367,"S'ils étudient de manière plus assidue, ils n'auraient plus desoin de redoubler."
368,"Tous les ans, Jean passe ses vacances dans un grand hôtel du Sud de la France"
369,"Si la plupart des habitants saluent cette loi comme un pas en avant pour la protection de l'environnement, certains commerçants s'inquiètent, comme dans ce magasin de bricolage où certains produits sont trop larges ou trop lourds pour des sacs en papier"
370,"Qui est cruel est sexuellement doué, capable de faire souffrir, mais aussi de donner certaines joies, pense le tréfonds."
371,Là-bas tout le monde parle anglais ! Londres est différent de Paris.
372,"Mais, comme il ne s'entendait guère plus en culture qu'en indienne, qu'il montait ses chevaux au lieu de les envoyer au labour, buvait son cidre en bouteilles au lieu de le vendre en barriques, mangeait les plus belles volailles de sa cour et graissait ses souliers de chasse avec le lard de ses cochons, il ne tarda point à s'apercevoir qu'il valait mieux planter là toute spéculation."
373,Je n'aime pas le fromage.
374,"Cependant les éditions incunables des Météorologiques, tout comme les autres versions manuscrites et imprimées de ce texte, transmirent dans les commentaires qui les accompagnaient diverses discussions autour de l'alchimie."
375,Elle a acheté des vêtements : un beau pull chaud et et une belle robe
376,"Aujourd'hui, je suis très occupé"
377,Vous avez sûrement été une belle femme désirée et courtisée à l'époque.
378,"Comme nous, ce sont des survivants."
379,"Après avoir entendu vos opinions, je voudrais annoncer ce que je pense."
380,La peur du huis clos de la retraite.
381,Il y a beaucoup d'avantages à Paris
382,Quelles tâches pourraient-ils accomplir?
383,"Elle est très sportive, elle adore la nature et elle a horreur d'aller dans les discothèques."
384,L'immense majorité des langues serait-elle condamnée à disparaître à court terme ?
385,Mieux vaut les laisser exprimer leurs paradoxes que les méconnaître.
386,M. Barrault portait une barbiche et un pince-nez: il vint boire du vin de muscat dans notre villa et se déclara flatté de la confiance que lui témoignait un membre de l'enseignement secondaire.
387,Je vois mon père un week-end sur deux.
388,"Une mémoire lexicale qui enregistre la carrosserie des mots, et une mémoire sémantique qui compile du sens"
389,"À force de ne pas faire attention, vous allez finir par vous faire mal !"
390,"Autrement dit, tout homme, lorsqu'il porte un regard réflexif sur lui-même, se juge spontanément libre, c'est-à-dire en mesure d'agir simplement en fonction de sa volonté"
391,Ils se sont fait des copains et sont heureux de vivre en France
392,C'est ma meilleure amie
393,"Par exemple au moyen de la technique de l'haplodiploïdisation, qui permet de fixer plus rapidement les caractères génotypiques que par la sélection classique."
394,Des clameurs stridentes montaient ; ensuite l'on n'entendait plus qu'une sorte de halètement.
395,"De façon générale, la question des robots suscite à la fois engouement et crainte chez le grand public."
396,Je n'avais jamais vu ça avant !
397,"Les serveurs sont mal organisés, c'est dommage."
398,"Lorsqu'elle a été construite, la tour Eiffel était le monument le plus élevé du monde (elle l'est restée pendant quarante ans)"
399,La cuillère n'existe pas.
400,"Très robuste, il était particulièrement apprécié pour la chasse au caribou et les déplacements en traîneau."
401,"Oui, vous voyagez en première ou en seconde ?"
402,"Oui, et ils sont bons !"
403,"Les données à manipuler sont acquises soit par la lecture de mémoires, soit en provenance de périphériques internes ou externes."
404,Il ne tient pas sa promesse car il est tourmenté par sa femme et le magicien.
405,Celle opposition entre ses sentiments et la place qu'elle occupait dans le monde avait rendu son humeur fort inégale.
406,La météo est le sujet de prédilection sur les réseaux sociaux
407,Ils se sont beaucoup promenés
408,On ne se sent plus chez soi.
409,"Quand elle est élevée, la FOMO est souvent associée à une humeur très fréquemment négative, une faible satisfaction de sa vie en général et à plus de symptômes dépressifs."
410,Ascagne jura de se venger de Fabrice.
411,"Il est ""entré en mode veille"", selon l'Agence spatiale européenne (ESA).""On ne reçoit plus de données. On a perdu le contact"" samedi vers 00h36 GMT (01h36 heure de Paris), a déclaré Philippe Gaudon, chef du projet Rosetta au CNES (Centre national d'études spatiales) à Toulouse (sud de la France)."
412,"Le terme de géohistoire, défini par Fernand Braudel lorsqu'il choisit la Méditerranée comme objet de sa thèse en 1949, a été repris dans les années 1980 par des géographes qui ont utilisé leurs outils récents de pensée des territoires pour réexaminer non seulement les espaces historiquement révolus, mais simultanément considérer les ""régions du temps"", les périodes, comme des objets formalisables."
413,"Autour d'elles, sous elles, coulait un grand ruissellement, les seaux d'eau chaude promenés et vidés d'un trait, les robinets d'eau froide ouverts, pissant de haut, les éclaboussements des battoirs, les égouttures des linges rincés, les mares où elles pataugeaient s'en allant par petits ruisseaux sur les dalles en pente ; et, au milieu des cris, des coups cadencés, du bruit murmurant de pluie, de cette clameur d'orage s'étouffant sous le plafond mouillé, la machine à vapeur, à droite, toute blanche d'une rosée fine, haletait et ronflait sans relâche, avec la trépidation dansante de son volant qui semblait régler l'énormité du tapage."
414,"Or, aujourd'hui, ces appareils commencent à peine à arriver en fin de vie. Beaucoup d'entreprises ont donc attendu ce moment pour se préparer réellement à les traiter."""
415,"Créatrice d'emplois, la filière permet aussi de rééquilibrer une balance commerciale souvent désavantageuse, tout en diversifiant les activités locales."
416,"C'est ce que suggère Kassák, qui dévoile, parmi les combines apprises pour vivre, le recours au mensonge."
417,"Seules, les grandes familles font usage du nom de leur appartenance patronymique."
418,Les Américains ont bien de la chance
419,"Quand la tarte est cuite, la sortir du four et la retourner pour la servir."
420,J'ai eu une bonne note en Français aujourd'hui.
421,"Quand bien même un consommateur modèle limiterait ses achats à des produits fabriqués dans l'Hexagone par des entreprises françaises, il serait vite rattrapé par la dure réalité"
422,"En outre, nous espérons réduire les délais de commande en exigeant des sous-traitants une très grande réactivité."
423,Mets la bougie dans le pot.
424,Elle n'est plus la même depuis qu'elle a eu l'accident.
425,"Enfin, il faut savoir que l'éducation complète d'un chien guide coûte très cher et qu'en France, les dix écoles sont entièrement financées par des dons."
426,Et l'argent qu'il va falloir rendre !
427,"Une épidémie de rage nous menace, dit Sagunta, et je suis la seule à posséder les pains de Saint-Hubert, patron des chasseurs et guérisseur des enragés"
428,Il ne faut pas utiliser de mots familiers pendant l'entretien
429,C'est une sorte de monstre à deux têtes.
430,J'ai des cours de méchanique et d'informatique.
431,"Je veux dire, vraiment triste."
432,"Les grandes villes proposent depuis longtemps des moyens de transport, mais ces derniers ont aussi leurs inconvénients."
433,"Au crépuscule, nous vous attendîmes patiament, mais vous oubliâtes notre rendez-vous."
434,J'habite à New York.
435,Vous êtes marié(e) ?
436,"Une question de survie expliquent-ils, pour réduire l'impact écologique et le prélèvement des ressources naturelles, mais aussi une volonté de promouvoir d'autres valeurs : l'altruisme, la coopération, le loisir."
437,"Mon imagination, s'irritant de l'obstacle, s'empara de toute mon existence."
438,"A 55 ans, on est mort."
439,"Le premier s'appelle Thomas, il a quatorze ans"
440,"Si elle avait un caractère plus commode, elle nouerait plus d'amitiés sincères."
441,"Souvent, lorsque l'on a un animal à la maison, on souhaite qu'il ne manque de rien et encore moins de nourriture."
442,"Et pour l'Europe, et bien pour l'Europe, c'est la française Claire Nouvian qui a été récompensée pour son combat au sein de son association Bloom, créé en 2005, pour préserver la biodiversité de l'océan"
443,"Au milieu des chasseurs, il débrouilla des pistes et suivit tout le long du jour les bêtes égarées ou blessées."
444,"Personne n'en a autant fait, depuis dix ans."
445,Nous avions besoin d'aide.
446,"On est cette génération qui consomme beaucoup d'images par les réseaux sociaux et ça peut être suffisant, mais il y a toujours une petite frustration"
447,"Par ici, les mariés."
448,"Dehors, universelle, une inlassable pluie disait leur malheur."
449,L'écran de mon moniteur s'est figé et les commandes ne répondent plus.
450,"L'espace parcouru, celui des campagnes et des petites bourgades, possède finalement sa cohérence propre et, surtout, s'avère beaucoup plus marquant que l'arrivée à Paris."
451,Il n'aime pas donner les billets de vingt ou de cinquante euros.
452,"Ton père est dans le jardin, il arrose les fleurs."
453,Tu n'as pas oublié ! Tu as nettoyé la maison.
454,"Quand le téléphone a sonné, on a répondu immédiatement."
455,Je ne parle pas bien français.
456,Elle avait subi son époux sans ardeur et sans répugnance.
457,Il a également la possibilité de verser des indemnités kilométriques à ceux qui utilisent leur véhicule personnel pour se rendre au travail.
458,"Aujourd'hui, elle fait encore partie des plus exposées"
459,"Voilà une cascade de sottises qui donnera beau jeu aux rieurs, et que je recommande à votre bonne humeur et à vos nuits blanches à force de rire."
460,Il coinça le téléphone entre l'oreille et l'épaule tout en attrapant son jeans.
461,"En raison de la sécheresse qui a réduit les récoltes, le même gouverneur Bradford proclame une journée de jeûne et de prière"
462,"Suis-je un amuseur stipendié, dont on exige tous les soirs qu'il joue une farce intellectuelle sous vos nez imbéciles"
463,"Pas le casser, quoi."
464,Tu es heureuse que les spectateurs aient applaudi.
465,"Ils sont descendus comme des zombis jusqu'au troquet du coin, ont bu deux ou trois cafés d'affilée, ont enfourché leur moto et sont venus se rendormir auprès d'elle sur d'affreux fauteuils de skaï noir"
466,"J'ai dû reprendre, car j'avais des problèmes de santé, ça me fait beaucoup de bien au moral."
467,N'oubliez pas votre appareil photo !
468,BigQuery est un entrepôt de données d'entreprise de Google en mode sans serveur.
469,"Et puis, dans la famille, personne chantait"
470,"Moi, je suis français!"
471,"Chaque matin, je prends mon petit déjeuner à 8 heures."
472,"On dansera sur les tubes du Club Dorothée et ""Le Prince de Bel Air"""
473,Il demande de l'aide à une alouette.
474,"Un homme qui n'avait point été baptisé, un bon anabaptiste, nommé Jacques, vit la manière cruelle et ignominieuse dont on traitait ainsi un de ses frères, un être à deux pieds sans plumes, qui avait une âme."
475,"La nuit tombait, il faisait un vent froid."
476,"Les gens présents ne peuvent pas la rater, encore moins les téléspectateurs des diverses chaînes présentes."
477,La seconde partie traite du rôle de l'encombrement stérique dans la régiosélectivité d'une oxydation métabolique.
478,"Elle aime les contes et les histoires fantastiques, et de temps en temps, je me dis qu'elle sort tout droit d'une de ces histoires-là."
479,Surtout avec les nouvelles technologies.
480,"Le but n'est pas de fabriquer une génération d'ingénieurs informaticiens, explique David Wilgenbus."
481,"Je te le suggère, je te le propose, je te le recommande."
482,Où je peux acheter un billet de train
483,"Après le prélèvement, le laboratoire effectue des tests pour déterminer le groupe sanguin et le facteur rhésus."
484,"Sa face plate, au nez camard, luisait comme si on l'eût frottée d'huile, et son dos rond, son encolure épaisse avec ce dandinement machinal, faisaient penser à quelque bête, à un ours difforme et monstrueux."
485,Les attitudes xénophobes sont considérées comme une violation des droits de l'homme.
486,C'est lui redonner confiance en lui.
487,Tu as aimé ce livre de poésies ?
488,"Alors que leurs effets dévastateurs sur les insectes pollinisateurs ne sont plus à prouver, les néonicotinoïdes seraient également néfastes pour les mammifères dont les humains."
489,"Le plus souvent, on insiste sur les causes négatives de cet allongement : l'errance de petit job en emploi précaire, la difficulté et le stress des études."
490,"Le bison a toujours été un animal sacré pour les Indiens des plaines, crucial dans leur culture."
491,"Je vais leur demander de se calmer, pour que vous puissiez profiter de votre repas dans le calme."
492,"Je m'appelle Angélica Summer, j'ai 12 ans et je suis canadienne."
493,Elle ne leur a pas révélé son secret.
494,"Il s'arrêtait toutes les quatre ou cinq brasses pour écouter la cloche mais, à chaque halte, elle semblait plus éloignée."
495,"Ou alors, on joue sur mon ordinateur."
496,"La construction des motocyclettes est particulière ; les châssis sont conçus en fonction de l'utilisation de la machine, et des contraintes à supporter."
497,"La construction de routes et d'infrastructures dans les forêts entraîne le plus souvent un afflux de population incontrôlable, ce qui ne fait qu'accroître le déboisement."
498,"Des modérateurs seront chargés de déterminer quels contenus enfreignent les règlements, mais la plateforme espère mettre au point un système à la fois humain et automatisé pour détecter les messages problématiques."
499,Vient le tour de sa soeur aînée plongée dans le 39e épisode d'une énième série américaine sur son smartphone.
500,Plus personne ne sautait sur le canapé depuis longtemps.
501,"Je ne vois nul signe d'épidémie, répondit le marquis"
502,Tu ne trouves pas ça difficile ?
503,"En effet, le fantastique allongement de l'espérance de vie (76, 7 ans pour les hommes, 83, 8 pour les femmes) déroule trois belles décennies devant eux."
504,Les sollicitations incessantes auxquelles nous sommes confrontés nous obligent à une discipline de fer.
505,"""Nous devons nous préparer à de nouvelles mutations du coronavirus et ne plus dépendre uniquement de l'UE pour la production de vaccins de deuxième génération"", a-t-il ajouté."
506,Comment le prince est-il vêtu ?
507,"En bas, les touristes de toutes les nationalités s'impatientent au milieu des revendeurs à la sauvette"
508,"""Lire, écrire, compter"" ne sont plus les seuls apprentissages indispensables."
509,"Je m'appelle Camille et quand j'étais enfant, j'avais des rêves plein la tête."
510,Tous peuvent reprendre des forces après un long jour de marche.
511,"Une étude portant sur 133 pays en développement indique que la migration dans les villes peut entraîner jusqu'à un doublement de la consommation de plats gras et sucrés, peu chers et immédiatement disponibles, au détriment d'une nourriture traditionnelle plus coûteuse et nécessitant un temps plus long de préparation."
512,"À partir de maintenant, il travaillera avec nous dans l'équipe commerciale en tant que responsable des ventes."
513,Les peuples des côtes de l'Alaska ont été particulièrement touchés par cette politique.
514,"Sont éligibles les forêts d'arbres de plus de deux mètres, dont le feuillage recouvre plus du dixième de la surface."
515,Une manière originale d'aborder la question du réchauffement planétaire qui pourrait inciter au dialogue.
516,Il est un boulot long et difficile.
517,Qu'as-tu mangé ?
518,"Le changement personnel, valorisé depuis une trentaine d'années, serait-il devenu une incantation collective ?"
519,"Au final, dans le désert, une boisson chaude se révèle rafraîchissante !"
520,"hier soir à sept heures et demie j'arrivais à mon marronnier ; il avait des feuilles, de jolies petites feuilles déjà assez grandes !"
521,"C'est le retour aux sources : les gens veulent faire leur potager, veulent partir de leurs propres légumes et veulent choisir lesquels, et là, le phénomène va vraiment être là pour durer et se prolonger pour les prochaines années."
522,"Nous nous voyons assez souvent, elle vient même parfois à la maison et nous faisons nos devoirs ensemble."
523,Elle est devenue au fil du temps une fête chrétienne.
524,Je vous vends des livres.
525,"Les invités voulaient boire du champagne, mais il n'y en avait plus."
526,"Du fait de la progression démographique et du développement des classes moyennes dans le monde, les systèmes éducatifs vont devoir former, d'ici à 2050, autant d'étudiants que durant toute l'histoire de l'humanité réunie car d'ici là, ""l'infosphère"" continuera son expansion vertigineuse ; la masse de connaissances double déjà tous les deux ans."
527,s'écriait la marquise.
528,"Mais cette année-là, l'hiver est très rude."
529,"Fort de ce succès, Roger Rougier a continué à développer cette approche amusante des apprentissages."
530,Elle dénoua le ruban qui attachait le manche de la quenouille à son corsage et me tendit la quenouille
531,"Dans la plupart des cas, ils désignent moins les cours et les enseignants que l'espace d'une vie ponctuée par les conquêtes progressives d'une liberté nichée dans les interstices de l'organisation scolaire : le temps des amours et des amitiés, celui des premières fois, avec la ronde des mini-bandes, des codes cachés et des fous rires."
532,"Tout à coup, son regard tomba parmi le fouillis des madriers, sur un étui de bois triangulaire et rouge."
533,"Rosalie Little Thunder, amérindienne sioux Lakota, prie pour que l'hiver ne soit pas trop rigoureux dans le Wyoming."
534,"Ces deux luttes sont liées, elles déconstruisent les rapports de domination, d'exploitation et de conquête au nom de l'Homme, dont la lettre capitale ne dissimule plus la posture prédatrice qu'il a tant incarnée."
535,"Et les discours sur la jeunesse, surtout les sérieux, mettent en scène les aspects dramatiques d'une expérience écrasée par les angoisses et les contradictions de la société."
536,Mon père est mort ici.
537,C'est le quartier des beaux magasins et des produits de grandes marques
538,"Elle confirme que l'organisation qui représente 155 000 Inuits du Canada, d'Alaska, du Groenland et de Russie envisage de déposer un recours juridique devant la Commission interaméricaine des droits de l'homme."
539,On serait davantage enclin à adhérer à cette thèse.
540,"Elle s'est cassé les deux jambes, elle a beaucoup souffert."
541,Je suis médecin.
542,Je suis née aux Pays-Bas
543,J'ai trouvé un stage qui me plaît beaucoup.
544,Je m'appelle Hugo et j'ai seize ans.
545,"Jusqu'à présent, les professionnelles grâce à leur propre acculturation, mais aussi aux normes, valeurs, idéologies véhiculées par la formation et le milieu professionnel, s'identifiaient au modèle transmis par l'histoire."
546,Bonne idée.
547,"Non, bien sûr ; mais ce que je veux dire c'est que nos préoccupations ont changé."
548,"En cas d'égalité, la vice-présidente Kamala Harris dispose d'une voix pour départager le vote."
549,D'autant qu'il n'y a pas vraiment d'effort pour que tout cela soit crédible.
550,"D'habitude, il n'avait jamais peur."
551,J'étais fier !
552,Elle descendit l'escalier à toute vitesse et courut le rencontrer.
553,"Ce qui est à moi, ces quelques milliers de mortiférés qui tournent en rond dans la calebasse d'une île et ce qui est à moi aussi, l'archipel arqué comme le désir inquiet de se nier, on dirait une anxiété maternelle pour protéger la ténuité plus délicate qui sépare l'une de l'autre Amérique ; et ses flancs qui sécrètent pour l'Europe la bonne liqueur d'un Gulf Stream, et l'un des deux versants d'incandescence entre quoi l'Equateur funambule vers l'Afrique. Et mon île non-clôture, sa claire audace debout à l'arrière de cette polynésie, devant elle, la Guadeloupe fendue en deux de sa raie dorsale et de même misère que nous, Haïti où la négritude se mit debout pour la première fois et dit qu'elle croyait à son humanité et la comique petite queue de la Floride où d'un nègre s'achève la strangulation, et l'Afrique gigantesquement chenillant jusqu'au pied hispanique de l'Europe, sa nudité où la Mort fauche à larges andains."
554,"La France se situe au 25ème rang du classement du TOEFL, test international d'anglais"
555,"Les sociétés modernes demandent beaucoup aux jeunes ; elles exigent qu'ils soient libres et sérieux, autonomes et prévoyants, originaux et conformes."
556,Rosa : Ça n'a pas beaucoup changé ici depuis 40 ans !
557,"L'école doit s'adapter au XXIe siècle Du fait de la progression démographique et du développement des classes moyennes dans le monde, les systèmes éducatifs vont devoir former, d'ici à 2050, autant d'étudiants que durant toute l'histoire de l'humanité réunie."
558,"Aujourd'hui, je vais te présenter ma famille"
559,L'apprentissage du code et plus largement d'une culture générale du numérique à l'école est une mesure réclamée depuis longtemps par l'Académie des sciences.
560,"Acheter français, c'est préserver l'emploi en France et éviter d'éventuelles fermetures d'usine synonymes de chômage et de paupérisation"
561,Comment les reconnaître?
562,"A propos de pansement, Djokovic en portait toujours un, imposant, sur le côté droit de sa sangle abdominale."
563,J'ouvre la porte et le chien court à l'extérieur.
564,"Les véhicules seront autonomes, plus besoin de chauffeurs, les opérations chirurgicales seront robotisées, les mines seront exploitées par des robots."
565,"La politique vaccinale s'accompagne aussi de nombreux doutes quant aux effets secondaires, estimés comme étant très importants par certains chercheurs."
566,"Le soir, je suis rentré vraiment fatigué mais heureux."
567,Quarante carottes crues croient que croquer crée des crampes.
568,"Sans cette pluie qui ne cesse de tomber, nous nous serions amusés."
569,"A cause de la crise, l'entreprise doit licencier une centaine de salariés."
570,"Vendus sous forme de petits formats noir et blanc, ses Jeux pour s'entraîner à raisonner ou ses Jeux de calcul mental trompent bien leur petit monde"
571,"Les expériences qui ont été faites démontrent donc chez l'enfant l'aptitude au mimétisme phonique mais aussi la capacité d'acquérir non seulement le vocabulaire et la syntaxe, mais aussi la prononciation"
572,La fête est arrivée au 19e siècle aux États-Unis et au Canada grâce aux nombreux émigrants venus d'Irlande et d'Écosse
573,"Après avoir bu une tasse de thé dans un café, je rentre chez moi en bus"
574,Lucie a postulé pour travailler comme monitrice dans un camp de vacances international cet été
575,L'histoire se passe en Asie.
576,"A l'époque actuelle, le désir réside dans la consommation d'objets de plus en plus sophistiqués et qui reflètent la nouveauté"
